location,block,pasture,livestock,patch,subpatch,date,plot,array,logger,TC,tempC,time,problematic
CGREC,BAR,SW,Cattle,SE,,5-7-2019,1,3,5Y,2,535,15:59:50.0,
CGREC,BAR,SW,Cattle,SE,,5-7-2019,1,3,5Y,3,426.75,15:59:56.0,
CGREC,BAR,SW,Cattle,SE,,5-7-2019,2,1,7R,1,535,16:00:42.0,
CGREC,BAR,SW,Cattle,SE,,5-7-2019,2,1,7R,2,323,16:00:42.1,
CGREC,BAR,SW,Cattle,SE,,5-7-2019,2,1,7R,3,397.75,16:00:40.0,
CGREC,BAR,SW,Cattle,SE,,5-7-2019,2,2,7Y,1,340.25,16:00:22.1,
CGREC,BAR,SW,Cattle,SE,,5-7-2019,2,2,7Y,2,306.25,16:00:14.1,
CGREC,BAR,SW,Cattle,SE,,5-7-2019,2,2,7Y,3,388.5,16:00:22.1,
CGREC,BAR,SW,Cattle,SE,,5-7-2019,2,3,3Y,1,333.75,16:00:17.0,
CGREC,BAR,SW,Cattle,SE,,5-7-2019,2,3,3Y,2,467.5,16:00:33.1,
CGREC,BAR,SW,Cattle,SE,,5-7-2019,2,3,3Y,3,550.75,16:00:24.0,
CGREC,BAR,SW,Cattle,SE,,5-7-2019,3,1,8R,1,503.25,16:01:41.1,
CGREC,BAR,SW,Cattle,SE,,5-7-2019,3,1,8R,2,452.5,16:01:39.0,
CGREC,BAR,SW,Cattle,SE,,5-7-2019,3,1,8R,3,504.75,16:01:50.0,
CGREC,BAR,SW,Cattle,SE,,5-7-2019,3,2,2R,1,410.25,16:01:40.0,
CGREC,BAR,SW,Cattle,SE,,5-7-2019,3,2,2R,2,375.75,16:01:44.1,
CGREC,BAR,SW,Cattle,SE,,5-7-2019,3,2,2R,3,279.75,16:01:53.0,
CGREC,BAR,SW,Cattle,SE,,5-7-2019,3,3,9Y,1,230.25,16:01:35.1,
CGREC,BAR,SW,Cattle,SE,,5-7-2019,3,3,9Y,2,240,16:01:31.1,
CGREC,BAR,SW,Cattle,SE,,5-7-2019,3,3,9Y,3,143,16:01:58.0,
CGREC,BOB,NE,Cattle,NE,W,5-2-2018,1,1,6,1,,,
CGREC,BOB,NE,Cattle,NE,W,5-2-2018,1,1,6,2,,,
CGREC,BOB,NE,Cattle,NE,W,5-2-2018,1,1,6,3,,,
CGREC,BOB,NE,Cattle,NE,W,5-2-2018,1,2,3,1,153.25,18:44:31.0,
CGREC,BOB,NE,Cattle,NE,W,5-2-2018,1,2,3,2,260.5,18:44:12.0,
